Date,Price,Open,High,Low,Vol.,Change %
313,2012-01-30,140.0,140.0,140.0,140.0,-,0.14%
314,2012-01-31,140.4,140.4,140.4,140.4,-,0.29%
315,2012-02-01,144.7,144.7,144.7,144.7,-,3.06%
316,2012-02-02,144.6,144.6,144.6,144.6,-,-0.07%
317,2012-02-03,143.4,143.4,143.4,143.4,-,-0.83%
318,2012-02-06,144.6,144.6,144.6,144.6,-,0.84%
319,2012-02-07,143.6,143.6,143.6,143.6,-,-0.69%
320,2012-02-08,142.8,142.8,142.8,142.8,-,-0.56%
321,2012-02-09,142.8,142.8,142.8,142.8,-,0.00%
322,2012-02-10,142.8,142.8,142.8,142.8,-,0.00%
323,2012-02-13,142.2,142.2,142.2,142.2,-,-0.42%
324,2012-02-14,141.0,141.0,141.0,141.0,-,-0.84%
325,2012-02-15,140.7,140.7,140.7,140.7,-,-0.21%
326,2012-02-16,140.1,140.1,140.1,140.1,-,-0.43%
327,2012-02-17,139.9,139.9,139.9,139.9,-,-0.14%
328,2012-02-21,139.9,139.9,139.9,139.9,-,0.00%
329,2012-02-22,139.8,139.8,139.8,139.8,-,-0.07%
330,2012-02-23,140.0,140.0,140.0,140.0,-,0.14%
331,2012-02-24,139.9,139.9,139.9,139.9,-,-0.07%
332,2012-02-27,140.0,140.0,140.0,140.0,-,0.07%
333,2012-02-28,140.1,140.1,140.1,140.1,-,0.07%
334,2012-02-29,140.4,140.4,140.4,140.4,-,0.21%
335,2012-03-01,139.3,139.3,139.3,139.3,-,-0.78%
336,2012-03-02,139.5,139.5,139.5,139.5,-,0.14%
337,2012-03-05,137.9,137.9,137.9,137.9,-,-1.15%
338,2012-03-06,138.2,138.2,138.2,138.2,-,0.22%
339,2012-03-07,138.8,138.8,138.8,138.8,-,0.43%
340,2012-03-08,139.8,139.8,139.8,139.8,-,0.72%
341,2012-03-09,140.0,140.0,140.0,140.0,-,0.14%
342,2012-03-12,142.5,142.5,142.5,142.5,-,1.79%
343,2012-03-13,143.5,143.5,143.5,143.5,-,0.70%
344,2012-03-14,143.1,143.1,143.1,143.1,-,-0.28%
345,2012-03-15,143.6,143.6,143.6,143.6,-,0.35%
346,2012-03-16,143.6,143.6,143.6,143.6,-,0.00%
347,2012-03-19,143.7,143.7,143.7,143.7,-,0.07%
348,2012-03-20,143.7,143.7,143.7,143.7,-,0.00%
349,2012-03-21,143.7,143.7,143.7,143.7,-,0.00%
350,2012-03-22,143.8,143.8,143.8,143.8,-,0.07%
351,2012-03-23,143.9,143.9,143.9,143.9,-,0.07%
352,2012-03-26,144.1,144.1,144.1,144.1,-,0.14%
353,2012-03-27,144.3,144.3,144.3,144.3,-,0.14%
354,2012-03-28,144.5,144.5,144.5,144.5,-,0.14%
355,2012-03-29,144.6,144.6,144.6,144.6,-,0.07%
356,2012-04-02,145.9,145.9,145.9,145.9,-,0.90%
357,2012-04-03,147.1,147.1,147.1,147.1,-,0.82%
358,2012-04-04,147.3,147.3,147.3,147.3,-,0.14%
359,2012-04-05,147.1,147.1,147.1,147.1,-,-0.14%
360,2012-04-09,147.1,147.1,147.1,147.1,-,0.00%
361,2012-04-10,149.4,149.4,149.4,149.4,-,1.56%
362,2012-04-11,149.1,149.1,149.1,149.1,-,-0.20%
363,2012-04-12,148.9,148.9,148.9,148.9,-,-0.13%
364,2012-04-13,148.6,148.6,148.6,148.6,-,-0.20%
365,2012-04-16,148.1,148.1,148.1,148.1,-,-0.34%
366,2012-04-17,148.4,148.4,148.4,148.4,-,0.20%
367,2012-04-18,148.2,148.2,148.2,148.2,-,-0.13%
368,2012-04-19,148.0,148.0,148.0,148.0,-,-0.13%
369,2012-04-20,148.3,148.3,148.3,148.3,-,0.20%
370,2012-04-23,148.2,148.2,148.2,148.2,-,-0.07%
371,2012-04-24,148.2,148.2,148.2,148.2,-,0.00%
372,2012-04-25,148.1,148.1,148.1,148.1,-,-0.07%
373,2012-04-26,147.9,147.9,147.9,147.9,-,-0.14%
374,2012-04-27,147.8,147.8,147.8,147.8,-,-0.07%
375,2012-04-30,147.6,147.6,147.6,147.6,-,-0.14%
376,2012-05-01,143.2,143.2,143.2,143.2,-,-2.98%
377,2012-05-02,142.5,142.5,142.5,142.5,-,-0.49%
378,2012-05-03,142.5,142.5,142.5,142.5,-,0.00%
379,2012-05-04,142.7,142.7,142.7,142.7,-,0.14%
380,2012-05-07,142.7,142.7,142.7,142.7,-,0.00%
381,2012-05-08,141.4,141.4,141.4,141.4,-,-0.91%
382,2012-05-09,141.4,141.4,141.4,141.4,-,0.00%
383,2012-05-10,140.8,140.8,140.8,140.8,-,-0.42%
384,2012-05-11,140.2,140.2,140.2,140.2,-,-0.43%
