Date,Price,Open,High,Low,Vol.,Change %
185,2010-09-28,"1,306.60","1,287.50","1,308.60","1,287.50",0.08K,0.76%
186,2010-09-29,"1,308.50","1,309.40","1,312.50","1,305.00",6.75K,0.15%
187,2010-09-30,"1,307.80","1,307.20","1,315.20","1,295.70",0.58K,-0.05%
188,2010-10-01,"1,316.10","1,309.00","1,320.00","1,309.00",0.15K,0.63%
189,2010-10-04,"1,315.40","1,318.30","1,319.10","1,312.00",0.10K,-0.05%
190,2010-10-05,"1,338.90","1,312.90","1,341.10","1,312.90",0.20K,1.79%
191,2010-10-06,"1,346.40","1,339.10","1,349.00","1,339.00",0.22K,0.56%
192,2010-10-07,"1,333.90","1,347.90","1,363.20","1,325.70",0.26K,-0.93%
193,2010-10-08,"1,344.20","1,333.50","1,348.40","1,325.00",0.08K,0.77%
194,2010-10-11,"1,353.30","1,346.70","1,353.70","1,344.00",0.08K,0.68%
195,2010-10-12,"1,345.70","1,346.90","1,352.20","1,343.60",0.11K,-0.56%
196,2010-10-13,"1,369.50","1,356.40","1,374.00","1,355.10",0.25K,1.77%
197,2010-10-14,"1,376.70","1,372.80","1,383.90","1,371.30",0.11K,0.53%
198,2010-10-15,"1,371.10","1,379.20","1,382.40","1,364.70",0.17K,-0.41%
199,2010-10-18,"1,371.20","1,358.00","1,372.60","1,358.00",0.05K,0.01%
200,2010-10-19,"1,335.10","1,366.80","1,370.50","1,328.50",0.30K,-2.63%
201,2010-10-20,"1,343.30","1,336.00","1,345.80","1,334.20",0.15K,0.61%
202,2010-10-21,"1,324.70","1,344.20","1,346.20","1,317.50",0.10K,-1.38%
203,2010-10-22,"1,324.40","1,326.70","1,328.10","1,319.00",0.11K,-0.02%
204,2010-10-25,"1,338.30","1,333.60","1,349.10","1,333.10",0.19K,1.05%
205,2010-10-26,"1,338.00","1,341.20","1,341.20","1,328.30",0.20K,-0.02%
206,2010-10-27,"1,322.20","1,341.00","1,341.80","1,321.10",0.09K,-1.18%
207,2010-10-28,"1,342.10","1,327.90","1,343.60","1,325.90",0.19K,1.51%
208,2010-10-29,"1,357.10","1,340.20","1,358.70","1,336.80",0.07K,1.12%
209,2010-11-01,"1,350.20","1,360.30","1,360.30","1,350.70",0.04K,-0.51%
210,2010-11-02,"1,356.40","1,356.80","1,356.80","1,355.50",0.02K,0.46%
211,2010-11-03,"1,337.10","1,351.40","1,359.20","1,327.50",0.14K,-1.42%
212,2010-11-04,"1,382.70","1,368.60","1,392.50","1,368.60",0.11K,3.41%
213,2010-11-05,"1,397.30","1,390.70","1,398.00","1,378.20",0.11K,1.06%
214,2010-11-08,"1,402.80","1,390.50","1,409.20","1,387.10",0.11K,0.39%
215,2010-11-09,"1,409.80","1,405.20","1,423.20","1,382.90",0.08K,0.50%
216,2010-11-10,"1,399.10","1,395.20","1,408.10","1,384.00",0.03K,-0.76%
217,2010-11-11,"1,403.10","1,400.70","1,413.50","1,397.30",0.03K,0.29%
218,2010-11-12,"1,365.40","1,407.90","1,407.90","1,360.10",0.18K,-2.69%
219,2010-11-15,"1,368.40","1,363.70","1,372.60","1,355.30",0.05K,0.22%
220,2010-11-16,"1,338.30","1,356.50","1,358.20","1,329.50",0.07K,-2.20%
221,2010-11-17,"1,336.80","1,336.90","1,341.80","1,331.30",0.05K,-0.11%
222,2010-11-18,"1,352.90","1,349.50","1,353.20","1,347.70",0.02K,1.20%
223,2010-11-19,"1,352.20","1,350.70","1,352.00","1,344.50",0.01K,-0.05%
224,2010-11-22,"1,357.70","1,357.70","1,357.70","1,357.70",-,0.41%
225,2010-11-23,"1,377.50","1,369.40","1,376.40","1,364.50",0.02K,1.46%
226,2010-11-24,"1,372.90","1,377.80","1,377.80","1,377.80",0.00K,-0.33%
227,2010-11-26,"1,362.30","1,372.10","1,372.10","1,372.10",0.00K,-0.77%
228,2010-11-29,"1,366.00","1,364.00","1,369.30","1,352.60",94.49K,0.27%
229,2010-11-30,"1,385.00","1,366.70","1,390.10","1,362.80",11.37K,1.39%
230,2010-12-01,"1,387.30","1,386.80","1,396.60","1,382.30",4.76K,0.17%
231,2010-12-02,"1,388.50","1,387.60","1,398.60","1,383.30",1.55K,0.09%
232,2010-12-03,"1,405.40","1,385.10","1,415.10","1,385.10",2.34K,1.22%
233,2010-12-06,"1,415.30","1,414.00","1,428.40","1,410.00",0.83K,0.70%
234,2010-12-07,"1,408.30","1,424.50","1,431.10","1,398.00",0.87K,-0.49%
235,2010-12-08,"1,382.50","1,402.50","1,403.80","1,372.00",1.68K,-1.83%
236,2010-12-09,"1,392.10","1,380.60","1,394.20","1,380.50",0.97K,0.69%
237,2010-12-10,"1,384.30","1,388.90","1,392.00","1,373.10",0.46K,-0.56%
238,2010-12-13,"1,397.30","1,384.50","1,399.20","1,383.60",0.19K,0.94%
239,2010-12-14,"1,403.60","1,401.90","1,407.60","1,391.80",0.43K,0.45%
240,2010-12-15,"1,385.50","1,394.00","1,394.00","1,379.50",0.22K,-1.29%
241,2010-12-16,"1,370.40","1,380.90","1,385.00","1,362.50",0.23K,-1.09%
242,2010-12-17,"1,378.60","1,376.40","1,377.50","1,365.90",0.10K,0.60%
243,2010-12-20,"1,385.50","1,379.50","1,386.70","1,376.50",0.13K,0.50%
244,2010-12-21,"1,388.20","1,385.80","1,390.00","1,381.50",0.11K,0.19%
245,2010-12-22,"1,386.80","1,388.00","1,389.50","1,385.00",0.06K,-0.10%
246,2010-12-23,"1,380.00","1,388.40","1,388.40","1,373.70",0.10K,-0.49%
247,2010-12-27,"1,382.40","1,373.50","1,384.20","1,373.50",0.32K,0.17%
248,2010-12-28,"1,405.20","1,389.80","1,406.70","1,389.80",0.52K,1.65%
249,2010-12-29,"1,413.10","1,403.40","1,412.20","1,402.90",0.04K,0.56%
250,2010-12-30,"1,405.60","1,413.80","1,413.80","1,403.10",0.19K,-0.53%
251,2010-12-31,"1,421.10","1,405.70","1,420.70","1,405.70",0.05K,1.10%
252,2011-01-03,"1,422.60","1,415.60","1,423.90","1,413.70",0.03K,0.11%
253,2011-01-04,"1,378.50","1,409.60","1,410.90","1,375.80",0.12K,-3.10%
254,2011-01-05,"1,373.40","1,383.40","1,384.00","1,364.20",0.18K,-0.37%
255,2011-01-06,"1,371.40","1,374.80","1,376.50","1,368.90",0.16K,-0.15%
256,2011-01-07,"1,368.50","1,372.70","1,377.20","1,355.50",0.23K,-0.21%
257,2011-01-10,"1,373.70","1,369.00","1,374.00","1,365.70",0.18K,0.38%
258,2011-01-11,"1,384.00","1,375.40","1,384.50","1,373.90",0.01K,0.75%
259,2011-01-12,"1,385.70","1,382.60","1,385.50","1,378.00",0.20K,0.12%
260,2011-01-13,"1,386.90","1,386.10","1,392.50","1,371.40",0.07K,0.09%
261,2011-01-14,"1,360.40","1,375.00","1,376.00","1,356.70",0.25K,-1.91%
262,2011-01-18,"1,368.10","1,365.10","1,371.00","1,359.20",0.11K,0.57%
263,2011-01-19,"1,370.20","1,371.90","1,376.20","1,367.00",0.04K,0.15%
264,2011-01-20,"1,346.50","1,367.70","1,367.70","1,345.00",0.01K,-1.73%
265,2011-01-21,"1,341.00","1,341.70","1,345.60","1,338.60",0.02K,-0.41%
266,2011-01-24,"1,344.50","1,352.30","1,352.30","1,341.80",0.00K,0.26%
267,2011-01-25,"1,332.30","1,330.40","1,331.50","1,323.60",0.39K,-0.91%
268,2011-01-26,"1,333.00","1,339.80","1,341.70","1,339.80",0.00K,0.05%
269,2011-01-27,"1,318.40","1,342.00","1,342.00","1,318.40",0.02K,-1.10%
270,2011-01-28,"1,340.70","1,314.00","1,346.60","1,307.70",73.02K,1.69%
271,2011-01-31,"1,333.80","1,339.00","1,345.90","1,323.30",13.66K,-0.51%
272,2011-02-01,"1,339.60","1,333.10","1,342.90","1,325.30",3.18K,0.43%
273,2011-02-02,"1,331.50","1,344.00","1,344.00","1,327.00",1.36K,-0.60%
274,2011-02-03,"1,352.30","1,335.60","1,355.80","1,324.90",1.87K,1.56%
275,2011-02-04,"1,348.30","1,354.80","1,360.00","1,345.00",0.59K,-0.30%
276,2011-02-07,"1,347.60","1,345.80","1,353.80","1,343.80",1.00K,-0.05%
277,2011-02-08,"1,363.40","1,351.20","1,367.00","1,350.00",2.54K,1.17%
278,2011-02-09,"1,364.80","1,362.80","1,366.50","1,359.60",0.15K,0.10%
279,2011-02-10,"1,361.90","1,364.30","1,364.50","1,351.70",0.31K,-0.21%
