Date,Price,Open,High,Low,Vol.,Change %
223,2010-12-22,"24,019.00","24,019.00","24,019.00","24,019.00",-,-2.33%
224,2010-12-23,"23,569.00","23,569.00","23,569.00","23,569.00",-,-1.87%
225,2010-12-24,"24,114.00","24,114.00","24,114.00","24,114.00",-,2.31%
226,2010-12-29,"23,811.00","23,811.00","23,811.00","23,811.00",-,-1.26%
227,2010-12-30,"24,265.00","24,265.00","24,265.00","24,265.00",-,1.91%
228,2010-12-31,"24,715.00","24,715.00","24,715.00","24,715.00",-,1.85%
229,2011-01-04,"25,120.00","25,120.00","25,120.00","25,120.00",-,1.64%
230,2011-01-05,"24,720.00","24,720.00","24,720.00","24,720.00",-,-1.59%
231,2011-01-06,"24,534.00","24,534.00","24,534.00","24,534.00",-,-0.75%
232,2011-01-07,"24,180.00","24,180.00","24,180.00","24,180.00",-,-1.44%
233,2011-01-10,"23,847.00","23,847.00","23,847.00","23,847.00",-,-1.38%
234,2011-01-11,"24,672.00","24,672.00","24,672.00","24,672.00",-,3.46%
235,2011-01-12,"25,776.00","25,776.00","25,776.00","25,776.00",-,4.47%
236,2011-01-13,"25,528.00","25,528.00","25,528.00","25,528.00",-,-0.96%
237,2011-01-14,"25,852.00","25,852.00","25,852.00","25,852.00",-,1.27%
238,2011-01-17,"25,811.00","25,811.00","25,811.00","25,811.00",-,-0.16%
239,2011-01-20,"25,760.00","25,760.00","25,760.00","25,760.00",-,-0.20%
240,2011-01-21,"26,154.00","26,154.00","26,154.00","26,154.00",-,1.53%
241,2011-01-24,"26,142.00","26,142.00","26,142.00","26,142.00",-,-0.05%
242,2011-01-25,"25,888.00","25,888.00","25,888.00","25,888.00",-,-0.97%
243,2011-01-26,"26,484.00","26,484.00","26,484.00","26,484.00",-,2.30%
244,2011-01-27,"26,475.00","26,475.00","26,475.00","26,475.00",-,-0.03%
245,2011-01-28,"26,600.00","26,600.00","26,600.00","26,600.00",-,0.47%
246,2011-01-31,"27,333.00","27,333.00","27,333.00","27,333.00",-,2.76%
